Tourney,tourneyType,tourneyDate,player,FACTION,points,swiss_standing,elim_standing,listId,Ship,Pilot,Elite Pilot Talent.1,Elite Pilot Talent.2,Title,Crew.1,Crew.2,Crew.3,Astromech Droid,System,Modification.1,Modification.2,Cannon,Missile.1,Missile.2,Torpedo.1,Torpedo.2,Bomb,Turret Weapon,Tech
Worlds 2015 (final standings only),World championship,11/4/2015,William Barnickel,Scum and Villainy,99,44,None,13772,Aggressor,IG-88B,Push the Limit,,IG-2000,,,,,Advanced Sensors,Autothrusters,,Mangler Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Zachary Bart,Rebel Alliance,98,45,None,13773,T-70 X-Wing,Poe Dameron,Veteran Instincts,,,,,,R5-P9,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Zachary Bart,Rebel Alliance,98,45,None,13773,HWK-290,Kyle Katarn,,,Moldy Crow,Chewbacca,,,,,,,,,,,,,Autoblaster Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Zachary Bart,Rebel Alliance,98,45,None,13773,A-Wing,Jake Farrell,Push the Limit,Veteran Instincts,A-Wing Test Pilot,,,,,,Autothrusters,,,Proton Rockets,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jarrod Alford,Rebel Alliance,100,46,None,13774,B-Wing,Blue Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jarrod Alford,Rebel Alliance,100,46,None,13774,B-Wing,Blue Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jarrod Alford,Rebel Alliance,100,46,None,13774,B-Wing,Blue Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jarrod Alford,Rebel Alliance,100,46,None,13774,B-Wing,Blue Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jarrod Alford,Rebel Alliance,100,46,None,13774,Z-95 Headhunter,Bandit Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Travis Kolesar,Scum and Villainy,99,47,None,13775,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,Bomb Loadout,Extra Munitions,Proximity Mines,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Travis Kolesar,Scum and Villainy,99,47,None,13775,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,Bomb Loadout,Extra Munitions,Proximity Mines,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Travis Kolesar,Scum and Villainy,99,47,None,13775,Y-Wing,Kavil,Predator,,,,,,,,,,,,,Bomb Loadout,Extra Munitions,Proximity Mines,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Michael Little,Galactic Empire,99,49,None,13777,Lambda-Class Shuttle,Omicron Group Pilot,,,,Emperor Palpatine,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Michael Little,Galactic Empire,99,49,None,13777,TIE Advanced,Darth Vader,Veteran Instincts,,TIE/x1,,,,,Advanced Targeting Computer,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Michael Little,Galactic Empire,99,49,None,13777,TIE Interceptor,Soontir Fel,Push the Limit,,Royal Guard TIE,,,,,,Stealth Device,Autothrusters,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Ira Mayers,Rebel Alliance,99,50,None,13778,Z-95 Headhunter,Bandit Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Ira Mayers,Rebel Alliance,99,50,None,13778,Z-95 Headhunter,Bandit Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Ira Mayers,Rebel Alliance,99,50,None,13778,Z-95 Headhunter,Bandit Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Ira Mayers,Rebel Alliance,99,50,None,13778,Y-Wing,Gold Squadron Pilot,,,BTL-A4 Y-Wing,,,,R3-A2,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Ira Mayers,Rebel Alliance,99,50,None,13778,K-Wing,Miranda Doni,,,,Tactician,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Federico Martin Martin,Scum and Villainy,100,52,None,13780,Aggressor,IG-88B,Predator,,IG-2000,,,,,Advanced Sensors,Autothrusters,,Mangler Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Federico Martin Martin,Scum and Villainy,100,52,None,13780,Aggressor,IG-88C,Predator,,IG-2000,,,,,Advanced Sensors,Autothrusters,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Patrick McDonald,Rebel Alliance,99,53,None,13781,YT-1300,Han Solo,Veteran Instincts,,Millennium Falcon,C-3PO,Luke Skywalker,,,,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Patrick McDonald,Rebel Alliance,99,53,None,13781,K-Wing,Miranda Doni,,,,Tactician,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Matthew Moisan,Galactic Empire,99,54,None,13782,Lambda-Class Shuttle,Omicron Group Pilot,,,,Emperor Palpatine,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Matthew Moisan,Galactic Empire,99,54,None,13782,TIE Advanced,Darth Vader,Crack Shot,,TIE/x1,,,,,Advanced Targeting Computer,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Matthew Moisan,Galactic Empire,99,54,None,13782,TIE Phantom,Whisper,Veteran Instincts,,,,,,,Fire-Control System,Advanced Cloaking Device,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Egill Bjornsson,Rebel Alliance,100,56,None,13784,A-Wing,Green Squadron Pilot,Crack Shot,Calculation,A-Wing Test Pilot,,,,,,Autothrusters,,,Chardaan Refit,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Egill Bjornsson,Rebel Alliance,100,56,None,13784,A-Wing,Green Squadron Pilot,Crack Shot,Calculation,A-Wing Test Pilot,,,,,,Autothrusters,,,Chardaan Refit,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Egill Bjornsson,Rebel Alliance,100,56,None,13784,A-Wing,Green Squadron Pilot,Crack Shot,Calculation,A-Wing Test Pilot,,,,,,Autothrusters,,,Chardaan Refit,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Egill Bjornsson,Rebel Alliance,100,56,None,13784,K-Wing,Miranda Doni,,,,Tactician,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Frank Forte,Rebel Alliance,100,57,None,13785,Z-95 Headhunter,Bandit Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Frank Forte,Rebel Alliance,100,57,None,13785,HWK-290,Rebel Operative,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Frank Forte,Rebel Alliance,100,57,None,13785,HWK-290,Rebel Operative,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Frank Forte,Rebel Alliance,100,57,None,13785,B-Wing,Blue Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Frank Forte,Rebel Alliance,100,57,None,13785,B-Wing,Blue Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jenny Schafer,Scum and Villainy,100,59,None,13787,Y-Wing,Syndicate Thug,,,BTL-A4 Y-Wing,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Jenny Schafer,Scum and Villainy,100,59,None,13787,Y-Wing,Syndicate Thug,,,BTL-A4 Y-Wing,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Jenny Schafer,Scum and Villainy,100,59,None,13787,YV-666,Trandoshan Slaver,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jenny Schafer,Scum and Villainy,100,59,None,13787,Kihraxz Fighter,Cartel Marauder,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Fernando Rodriquez Cazares,Scum and Villainy,100,61,None,13789,Aggressor,IG-88A,Crack Shot,,IG-2000,,,,,Fire-Control System,Autothrusters,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Fernando Rodriquez Cazares,Scum and Villainy,100,61,None,13789,Aggressor,IG-88B,Crack Shot,,IG-2000,,,,,Fire-Control System,Autothrusters,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Eric Riner,Scum and Villainy,100,62,None,13790,YV-666,Bossk,Marksmanship,,,Gunner,K4 Security Droid,Tactician,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Eric Riner,Scum and Villainy,100,62,None,13790,Z-95 Headhunter,Black Sun Soldier,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Eric Riner,Scum and Villainy,100,62,None,13790,Z-95 Headhunter,Black Sun Soldier,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Eric Riner,Scum and Villainy,100,62,None,13790,Z-95 Headhunter,Black Sun Soldier,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Eric Riner,Scum and Villainy,100,62,None,13790,Z-95 Headhunter,Black Sun Soldier,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Gordon McDonald,Scum and Villainy,100,65,None,13793,Aggressor,IG-88B,Predator,,IG-2000,,,,,Advanced Sensors,Autothrusters,,Mangler Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Gordon McDonald,Scum and Villainy,100,65,None,13793,Aggressor,IG-88C,Predator,,IG-2000,,,,,Advanced Sensors,Autothrusters,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Joseph Desmond,Rebel Alliance,100,67,None,13795,B-Wing,Blue Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Joseph Desmond,Rebel Alliance,100,67,None,13795,B-Wing,Blue Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Joseph Desmond,Rebel Alliance,100,67,None,13795,YT-2400 Freighter,Dash Rendar,Lone Wolf,,Outrider,R2-D2,,,,,Anti-Pursuit Lasers,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Kris Sherriff,Galactic Empire,100,68,None,13796,TIE Interceptor,Carnor Jax,Veteran Instincts,,Royal Guard TIE,,,,,,Autothrusters,Hull Upgrade,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Kris Sherriff,Galactic Empire,100,68,None,13796,TIE Advanced,Darth Vader,Predator,,TIE/x1,,,,,Advanced Targeting Computer,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Kris Sherriff,Galactic Empire,100,68,None,13796,Lambda-Class Shuttle,Captain Kagi,,,,Emperor Palpatine,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,James Beaver,Scum and Villainy,100,69,None,13797,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,James Beaver,Scum and Villainy,100,69,None,13797,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,James Beaver,Scum and Villainy,100,69,None,13797,Aggressor,IG-88B,Crack Shot,,IG-2000,,,,,Fire-Control System,Autothrusters,,Mangler Cannon,,,,,Ion Bombs,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jonathan Grasser,Rebel Alliance,99,71,None,13799,YT-1300,Chewbacca,Predator,,Millennium Falcon,C-3PO,Luke Skywalker,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jonathan Grasser,Rebel Alliance,99,71,None,13799,YT-2400 Freighter,Eaden Vrill,,,,R2-D2,,,,,,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Neil Jenkins,Rebel Alliance,100,72,None,13800,Z-95 Headhunter,Bandit Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Neil Jenkins,Rebel Alliance,100,72,None,13800,Y-Wing,Gold Squadron Pilot,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Neil Jenkins,Rebel Alliance,100,72,None,13800,Y-Wing,Gold Squadron Pilot,,,BTL-A4 Y-Wing,,,,R3-A2,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Neil Jenkins,Rebel Alliance,100,72,None,13800,T-70 X-Wing,Poe Dameron,Veteran Instincts,,,,,,R2-D2,,Autothrusters,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,BJ Ramos,Scum and Villainy,100,73,None,13801,Aggressor,IG-88A,Crack Shot,,IG-2000,,,,,Fire-Control System,Autothrusters,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,BJ Ramos,Scum and Villainy,100,73,None,13801,Aggressor,IG-88B,Crack Shot,,IG-2000,,,,,Fire-Control System,Autothrusters,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Frank Fleming,Rebel Alliance,100,74,None,13802,Y-Wing,Gold Squadron Pilot,,,,,,,R3-A2,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Frank Fleming,Rebel Alliance,100,74,None,13802,HWK-290,Roark Garnet,,,Moldy Crow,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Frank Fleming,Rebel Alliance,100,74,None,13802,E-Wing,Corran Horn,Veteran Instincts,,,,,,R2-D2,Fire-Control System,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Julian Horvath,Rebel Alliance,100,76,None,13804,YT-2400 Freighter,Eaden Vrill,,,,Recon Specialist,,,,,Anti-Pursuit Lasers,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Julian Horvath,Rebel Alliance,100,76,None,13804,YT-1300,Chewbacca,Predator,,Millennium Falcon,Luke Skywalker,C-3PO,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Clinton Dawson,Scum and Villainy,100,77,None,13805,Z-95 Headhunter,Black Sun Soldier,,,,,,,,,,,,Concussion Missiles,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Clinton Dawson,Scum and Villainy,100,77,None,13805,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Clinton Dawson,Scum and Villainy,100,77,None,13805,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Clinton Dawson,Scum and Villainy,100,77,None,13805,Y-Wing,Kavil,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Andrew Otteson,Rebel Alliance,99,78,None,13806,Y-Wing,Gold Squadron Pilot,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Andrew Otteson,Rebel Alliance,99,78,None,13806,Y-Wing,Gold Squadron Pilot,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Andrew Otteson,Rebel Alliance,99,78,None,13806,YT-1300,Chewbacca,Push the Limit,,Millennium Falcon,Jan Ors,Recon Specialist,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jeff Judziewicz,Scum and Villainy,100,79,None,13807,Aggressor,IG-88B,Predator,,IG-2000,,,,,Advanced Sensors,Autothrusters,,Mangler Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jeff Judziewicz,Scum and Villainy,100,79,None,13807,Aggressor,IG-88C,Predator,,IG-2000,,,,,Advanced Sensors,Autothrusters,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Peter Hansen,Galactic Empire,95,81,None,13809,TIE Advanced,Lieutenant Colzet,,,TIE/x1,,,,,Accuracy Corrector,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Peter Hansen,Galactic Empire,95,81,None,13809,TIE Interceptor,Soontir Fel,Push the Limit,,Royal Guard TIE,,,,,,Autothrusters,Stealth Device,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Peter Hansen,Galactic Empire,95,81,None,13809,TIE Advanced,Darth Vader,Predator,,TIE/x1,,,,,Advanced Targeting Computer,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jeff Theorist,Galactic Empire,100,83,None,13811,TIE Interceptor,Saber Squadron Pilot,Push the Limit,,,,,,,,Autothrusters,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jeff Theorist,Galactic Empire,100,83,None,13811,TIE Interceptor,Soontir Fel,Push the Limit,,Royal Guard TIE,,,,,,Stealth Device,Autothrusters,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jeff Theorist,Galactic Empire,100,83,None,13811,TIE Advanced,Darth Vader,Lone Wolf,,TIE/x1,,,,,Advanced Targeting Computer,Engine Upgrade,,,Proton Rockets,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Don Tolentino,Rebel Alliance,100,84,None,13812,YT-2400 Freighter,Eaden Vrill,,,,Recon Specialist,,,,,Anti-Pursuit Lasers,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Don Tolentino,Rebel Alliance,100,84,None,13812,YT-1300,Chewbacca,Predator,,Millennium Falcon,Luke Skywalker,C-3PO,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Ryan Voigt,Rebel Alliance,100,85,None,13813,K-Wing,Miranda Doni,,,,Tactician,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Ryan Voigt,Rebel Alliance,100,85,None,13813,Y-Wing,Gray Squadron Pilot,,,BTL-A4 Y-Wing,,,,R3-A2,,,,,,,,,,Ion Cannon Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Ryan Voigt,Rebel Alliance,100,85,None,13813,YT-2400 Freighter,Eaden Vrill,,,,Tactician,,,,,,,Flechette Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Zachary Mathews,Rebel Alliance,100,86,None,13814,HWK-290,Roark Garnet,,,,Tactician,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Zachary Mathews,Rebel Alliance,100,86,None,13814,Z-95 Headhunter,Airen Cracken,Veteran Instincts,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Zachary Mathews,Rebel Alliance,100,86,None,13814,Y-Wing,Gold Squadron Pilot,,,BTL-A4 Y-Wing,,,,R3-A2,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Zachary Mathews,Rebel Alliance,100,86,None,13814,B-Wing,Dagger Squadron Pilot,,,,Tactician,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Mario Nunez,Galactic Empire,100,88,None,13816,TIE Fighter,Howlrunner,Crack Shot,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Mario Nunez,Galactic Empire,100,88,None,13816,Tie/fo Fighter,Omega Squadron Pilot,Crack Shot,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Mario Nunez,Galactic Empire,100,88,None,13816,Tie/fo Fighter,Omega Squadron Pilot,Crack Shot,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Mario Nunez,Galactic Empire,100,88,None,13816,TIE Fighter,Black Squadron Pilot,Crack Shot,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Mario Nunez,Galactic Empire,100,88,None,13816,TIE Fighter,Black Squadron Pilot,Crack Shot,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Mario Nunez,Galactic Empire,100,88,None,13816,TIE Fighter,Black Squadron Pilot,Crack Shot,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Marcus McAllister,Galactic Empire,99,89,None,13817,TIE Interceptor,Soontir Fel,Push the Limit,,Royal Guard TIE,,,,,,Stealth Device,Autothrusters,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Marcus McAllister,Galactic Empire,99,89,None,13817,VT-49 Decimator,Rear Admiral Chiraneau,Veteran Instincts,,Dauntless,Darth Vader,Gunner,Navigator,,,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Frans Bongers,Galactic Empire,100,90,None,13818,TIE Fighter,Obsidian Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Frans Bongers,Galactic Empire,100,90,None,13818,TIE Fighter,Obsidian Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Frans Bongers,Galactic Empire,100,90,None,13818,TIE Fighter,Obsidian Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Frans Bongers,Galactic Empire,100,90,None,13818,TIE Fighter,Obsidian Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Frans Bongers,Galactic Empire,100,90,None,13818,TIE Fighter,Obsidian Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Frans Bongers,Galactic Empire,100,90,None,13818,TIE Interceptor,Soontir Fel,Push the Limit,,Royal Guard TIE,,,,,,Autothrusters,Stealth Device,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Joe McGlinchey,Galactic Empire,100,91,None,13819,TIE Interceptor,Soontir Fel,Push the Limit,,,,,,,,Autothrusters,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Joe McGlinchey,Galactic Empire,100,91,None,13819,TIE Advanced,Darth Vader,Crack Shot,,TIE/x1,,,,,Advanced Targeting Computer,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Joe McGlinchey,Galactic Empire,100,91,None,13819,TIE Phantom,Whisper,Veteran Instincts,,,,,,,,Advanced Cloaking Device,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Don Komhyr,Scum and Villainy,100,92,None,13820,Aggressor,IG-88C,Crack Shot,,IG-2000,,,,,Fire-Control System,Autothrusters,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Don Komhyr,Scum and Villainy,100,92,None,13820,Aggressor,IG-88B,Crack Shot,,IG-2000,,,,,Fire-Control System,Autothrusters,,Mangler Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Anthony Rossi,Scum and Villainy,99,97,None,13825,Y-Wing,Hired Gun,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Anthony Rossi,Scum and Villainy,99,97,None,13825,Y-Wing,Hired Gun,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Anthony Rossi,Scum and Villainy,99,97,None,13825,Star Viper,Guri,Lone Wolf,,Virago,,,,,Sensor Jammer,Autothrusters,,,,,Advanced Proton Torpedoes,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Jonathan Nguyen,Scum and Villainy,100,98,None,13826,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Jonathan Nguyen,Scum and Villainy,100,98,None,13826,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Jonathan Nguyen,Scum and Villainy,100,98,None,13826,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Jonathan Nguyen,Scum and Villainy,100,98,None,13826,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Kevin Leintz,Rebel Alliance,100,99,None,13827,YT-2400 Freighter,Dash Rendar,Lone Wolf,,,C-3PO,,,,,Engine Upgrade,,Heavy Laser Cannon,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Kevin Leintz,Rebel Alliance,100,99,None,13827,E-Wing,Corran Horn,Push the Limit,,,,,,R2-D2,Fire-Control System,Engine Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Steven Gonzalez,Scum and Villainy,100,100,None,13828,HWK-290,Torkil Mux,,,,Recon Specialist,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Steven Gonzalez,Scum and Villainy,100,100,None,13828,Y-Wing,Syndicate Thug,,,,,,,,,,,,,,,,,Twin Laser Turret,
